scale,scenarios,rounds_per_scenario,replications,architecture,model,cache_ratio,llm_calls,input_tokens,output_tokens,total_tokens,token_cost_usd,cost_per_scenario_usd,sequential_latency_minutes,parallel_by_round_latency_minutes,break_even_improvement_usd,break_even_improvement_pct_of_baseline_net_benefit,expected_improvement_low_usd,expected_improvement_mid_usd,expected_improvement_high_usd,net_value_low_usd,net_value_mid_usd,net_value_high_usd
medium_thesis_batch,1000,5,3,hybrid_policy_only,gpt-4o-mini,0.0,15000,18000000,3750000,21750000,4.95,0.00495,300.0,300.0,4.95,0.00020374,60.74,242.96,728.87,55.79,238.01,723.92
medium_thesis_batch,1000,5,3,hybrid_policy_only,gpt-4o-mini,0.5,15000,18000000,3750000,21750000,4.275,0.004275,300.0,300.0,4.275,0.00017596,60.74,242.96,728.87,56.46,238.68,724.59
medium_thesis_batch,1000,5,3,hybrid_policy_only,gpt-4o-mini,0.8,15000,18000000,3750000,21750000,3.87,0.00387,300.0,300.0,3.87,0.00015929,60.74,242.96,728.87,56.87,239.09,725.0
medium_thesis_batch,1000,5,3,hybrid_policy_only,gpt-4o,0.0,15000,18000000,3750000,21750000,82.5,0.0825,700.0,700.0,82.5,0.00339568,60.74,242.96,728.87,-21.76,160.46,646.37
medium_thesis_batch,1000,5,3,hybrid_policy_only,gpt-4o,0.5,15000,18000000,3750000,21750000,71.25,0.07125,700.0,700.0,71.25,0.00293263,60.74,242.96,728.87,-10.51,171.71,657.62
medium_thesis_batch,1000,5,3,hybrid_policy_only,gpt-4o,0.8,15000,18000000,3750000,21750000,64.5,0.0645,700.0,700.0,64.5,0.0026548,60.74,242.96,728.87,-3.76,178.46,664.37
medium_thesis_batch,1000,5,3,hybrid_analyst_policy,gpt-4o-mini,0.0,30000,39000000,9000000,48000000,11.25,0.01125,600.0,300.0,11.25,0.00046305,121.48,485.91,1214.78,110.23,474.66,1203.53
medium_thesis_batch,1000,5,3,hybrid_analyst_policy,gpt-4o-mini,0.5,30000,39000000,9000000,48000000,9.7875,0.009787,600.0,300.0,9.7875,0.00040285,121.48,485.91,1214.78,111.69,476.12,1204.99
medium_thesis_batch,1000,5,3,hybrid_analyst_policy,gpt-4o-mini,0.8,30000,39000000,9000000,48000000,8.91,0.00891,600.0,300.0,8.91,0.00036673,121.48,485.91,1214.78,112.57,477.0,1205.87
medium_thesis_batch,1000,5,3,hybrid_analyst_policy,gpt-4o,0.0,30000,39000000,9000000,48000000,187.5,0.1875,1400.0,700.0,187.5,0.00771746,121.48,485.91,1214.78,-66.02,298.41,1027.28
medium_thesis_batch,1000,5,3,hybrid_analyst_policy,gpt-4o,0.5,30000,39000000,9000000,48000000,163.125,0.163125,1400.0,700.0,163.125,0.00671419,121.48,485.91,1214.78,-41.65,322.79,1051.65
medium_thesis_batch,1000,5,3,hybrid_analyst_policy,gpt-4o,0.8,30000,39000000,9000000,48000000,148.5,0.1485,1400.0,700.0,148.5,0.00611223,121.48,485.91,1214.78,-27.02,337.41,1066.28
medium_thesis_batch,1000,5,3,full_llm_abm,gpt-4o-mini,0.0,75000,112500000,26250000,138750000,32.625,0.032625,1500.0,300.0,32.625,0.00134284,121.48,728.87,1700.69,88.85,696.24,1668.06
medium_thesis_batch,1000,5,3,full_llm_abm,gpt-4o-mini,0.5,75000,112500000,26250000,138750000,28.40625,0.028406,1500.0,300.0,28.40625,0.00116919,121.48,728.87,1700.69,93.07,700.46,1672.28
medium_thesis_batch,1000,5,3,full_llm_abm,gpt-4o-mini,0.8,75000,112500000,26250000,138750000,25.875,0.025875,1500.0,300.0,25.875,0.00106501,121.48,728.87,1700.69,95.6,702.99,1674.81
medium_thesis_batch,1000,5,3,full_llm_abm,gpt-4o,0.0,75000,112500000,26250000,138750000,543.75,0.54375,3500.0,700.0,543.75,0.02238062,121.48,728.87,1700.69,-422.27,185.12,1156.94
medium_thesis_batch,1000,5,3,full_llm_abm,gpt-4o,0.5,75000,112500000,26250000,138750000,473.4375,0.473438,3500.0,700.0,473.4375,0.01948658,121.48,728.87,1700.69,-351.96,255.43,1227.25
medium_thesis_batch,1000,5,3,full_llm_abm,gpt-4o,0.8,75000,112500000,26250000,138750000,431.25,0.43125,3500.0,700.0,431.25,0.01775015,121.48,728.87,1700.69,-309.77,297.62,1269.44
large_research_batch,10000,5,3,rule_based_abm,gpt-4o-mini,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
large_research_batch,10000,5,3,rule_based_abm,gpt-4o-mini,0.5,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
large_research_batch,10000,5,3,rule_based_abm,gpt-4o-mini,0.8,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
large_research_batch,10000,5,3,rule_based_abm,gpt-4o,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
large_research_batch,10000,5,3,rule_based_abm,gpt-4o,0.5,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
large_research_batch,10000,5,3,rule_based_abm,gpt-4o,0.8,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
large_research_batch,10000,5,3,hybrid_policy_only,gpt-4o-mini,0.0,150000,180000000,37500000,217500000,49.5,0.00495,3000.0,3000.0,49.5,0.00203741,60.74,242.96,728.87,11.24,193.46,679.37
large_research_batch,10000,5,3,hybrid_policy_only,gpt-4o-mini,0.5,150000,180000000,37500000,217500000,42.75,0.004275,3000.0,3000.0,42.75,0.00175958,60.74,242.96,728.87,17.99,200.21,686.12
large_research_batch,10000,5,3,hybrid_policy_only,gpt-4o-mini,0.8,150000,180000000,37500000,217500000,38.7,0.00387,3000.0,3000.0,38.7,0.00159288,60.74,242.96,728.87,22.04,204.26,690.17
large_research_batch,10000,5,3,hybrid_policy_only,gpt-4o,0.0,150000,180000000,37500000,217500000,825.0,0.0825,7000.0,7000.0,825.0,0.03395681,60.74,242.96,728.87,-764.26,-582.04,-96.13
large_research_batch,10000,5,3,hybrid_policy_only,gpt-4o,0.5,150000,180000000,37500000,217500000,712.5,0.07125,7000.0,7000.0,712.5,0.02932633,60.74,242.96,728.87,-651.76,-469.54,16.37
large_research_batch,10000,5,3,hybrid_policy_only,gpt-4o,0.8,150000,180000000,37500000,217500000,645.0,0.0645,7000.0,7000.0,645.0,0.02654805,60.74,242.96,728.87,-584.26,-402.04,83.87
large_research_batch,10000,5,3,hybrid_analyst_policy,gpt-4o-mini,0.0,300000,390000000,90000000,480000000,112.5,0.01125,6000.0,3000.0,112.5,0.00463047,121.48,485.91,1214.78,8.98,373.41,1102.28
large_research_batch,10000,5,3,hybrid_analyst_policy,gpt-4o-mini,0.5,300000,390000000,90000000,480000000,97.875,0.009787,6000.0,3000.0,97.875,0.00402851,121.48,485.91,1214.78,23.6,388.04,1116.9
large_research_batch,10000,5,3,hybrid_analyst_policy,gpt-4o-mini,0.8,300000,390000000,90000000,480000000,89.1,0.00891,6000.0,3000.0,89.1,0.00366734,121.48,485.91,1214.78,32.38,396.81,1125.68
large_research_batch,10000,5,3,hybrid_analyst_policy,gpt-4o,0.0,300000,390000000,90000000,480000000,1875.0,0.1875,14000.0,7000.0,1875.0,0.07717456,121.48,485.91,1214.78,-1753.52,-1389.09,-660.22
large_research_batch,10000,5,3,hybrid_analyst_policy,gpt-4o,0.5,300000,390000000,90000000,480000000,1631.25,0.163125,14000.0,7000.0,1631.25,0.06714187,121.48,485.91,1214.78,-1509.77,-1145.34,-416.47
large_research_batch,10000,5,3,hybrid_analyst_policy,gpt-4o,0.8,300000,390000000,90000000,480000000,1485.0,0.1485,14000.0,7000.0,1485.0,0.06112225,121.48,485.91,1214.78,-1363.52,-999.09,-270.22
large_research_batch,10000,5,3,full_llm_abm,gpt-4o-mini,0.0,750000,1125000000,262500000,1387500000,326.25,0.032625,15000.0,3000.0,326.25,0.01342837,121.48,728.87,1700.69,-204.77,402.62,1374.44
large_research_batch,10000,5,3,full_llm_abm,gpt-4o-mini,0.5,750000,1125000000,262500000,1387500000,284.0625,0.028406,15000.0,3000.0,284.0625,0.01169195,121.48,728.87,1700.69,-162.58,444.8,1416.63
large_research_batch,10000,5,3,full_llm_abm,gpt-4o-mini,0.8,750000,1125000000,262500000,1387500000,258.75,0.025875,15000.0,3000.0,258.75,0.01065009,121.48,728.87,1700.69,-137.27,470.12,1441.94
large_research_batch,10000,5,3,full_llm_abm,gpt-4o,0.0,750000,1125000000,262500000,1387500000,5437.5,0.54375,35000.0,7000.0,5437.5,0.22380623,121.48,728.87,1700.69,-5316.02,-4708.63,-3736.81
large_research_batch,10000,5,3,full_llm_abm,gpt-4o,0.5,750000,1125000000,262500000,1387500000,4734.375,0.473438,35000.0,7000.0,4734.375,0.19486577,121.48,728.87,1700.69,-4612.9,-4005.51,-3033.69
large_research_batch,10000,5,3,full_llm_abm,gpt-4o,0.8,750000,1125000000,262500000,1387500000,4312.5,0.43125,35000.0,7000.0,4312.5,0.1775015,121.48,728.87,1700.69,-4191.02,-3583.63,-2611.81
