policy_name,policy_description,cost_scenario,transactions,fraud_count,fraud_rate,alerts_sent_to_analyst,analyst_reviewed,review_overflow,precision_flagged,recall_flagged,precision_reviewed,recall_reviewed,fraud_loss_prevented,fraud_loss_realized,false_positive_cost,analyst_cost,net_benefit,fraud_recovery_rate,false_positive_fixed_cost,false_positive_variable_rate,analyst_cost_per_minute
balanced_threshold,"Baseline threshold: review score >=70, simulated hold/step-up score >=90.",high_analyst_cost,27720,295,0.010642,884,595,289,0.1233,0.3695,0.1546,0.3119,67525.69,35395.08,5677.74,4314.6,22138.27,0.75,3.0,0.01,0.9
sensitive_threshold,"Lower threshold: review score >=50, designed to improve recall but may increase false positives.",high_analyst_cost,27720,295,0.010642,1645,600,1045,0.0833,0.4644,0.1533,0.3119,67525.69,35395.08,9382.5,4341.6,18406.51,0.75,3.0,0.01,0.9
strict_threshold,"Higher threshold: review score >=85, designed to reduce workload and false positives.",high_analyst_cost,27720,295,0.010642,411,408,3,0.1873,0.261,0.1887,0.261,62517.18,42073.1,2664.75,3304.8,14474.53,0.75,3.0,0.01,0.9
capacity_aware,Capacity-aware queue: candidates score >=50 are ranked by risk score; only daily capacity is reviewed.,high_analyst_cost,27720,295,0.010642,1645,600,1045,0.0833,0.4644,0.1533,0.3119,67525.69,35395.08,9382.5,4341.6,18406.51,0.75,3.0,0.01,0.9
cost_sensitive,"Cost-sensitive queue: review only when expected review utility is positive, then rank by expected utility.",high_analyst_cost,27720,295,0.010642,7822,600,7222,0.0275,0.7288,0.1317,0.2678,77287.9,22378.81,36345.07,3990.6,14573.41,0.75,3.0,0.01,0.9
balanced_threshold,"Baseline threshold: review score >=70, simulated hold/step-up score >=90.",low_recovery,27720,295,0.010642,884,595,289,0.1233,0.3695,0.1546,0.3119,36013.7,35395.08,5677.74,2157.3,-7216.42,0.4,3.0,0.01,0.45
sensitive_threshold,"Lower threshold: review score >=50, designed to improve recall but may increase false positives.",low_recovery,27720,295,0.010642,1645,600,1045,0.0833,0.4644,0.1533,0.3119,36013.7,35395.08,9382.5,2170.8,-10934.68,0.4,3.0,0.01,0.45
strict_threshold,"Higher threshold: review score >=85, designed to reduce workload and false positives.",low_recovery,27720,295,0.010642,411,408,3,0.1873,0.261,0.1887,0.261,33342.5,42073.1,2664.75,1652.4,-13047.75,0.4,3.0,0.01,0.45
capacity_aware,Capacity-aware queue: candidates score >=50 are ranked by risk score; only daily capacity is reviewed.,low_recovery,27720,295,0.010642,1645,600,1045,0.0833,0.4644,0.1533,0.3119,36013.7,35395.08,9382.5,2170.8,-10934.68,0.4,3.0,0.01,0.45
cost_sensitive,"Cost-sensitive queue: review only when expected review utility is positive, then rank by expected utility.",low_recovery,27720,295,0.010642,6590,600,5990,0.0308,0.6881,0.1317,0.2678,41220.21,22378.81,31657.88,1998.0,-14814.48,0.4,3.0,0.01,0.45
balanced_threshold,"Baseline threshold: review score >=70, simulated hold/step-up score >=90.",high_recovery,27720,295,0.010642,884,595,289,0.1233,0.3695,0.1546,0.3119,81030.83,35395.08,5677.74,2157.3,37800.71,0.9,3.0,0.01,0.45
sensitive_threshold,"Lower threshold: review score >=50, designed to improve recall but may increase false positives.",high_recovery,27720,295,0.010642,1645,600,1045,0.0833,0.4644,0.1533,0.3119,81030.83,35395.08,9382.5,2170.8,34082.45,0.9,3.0,0.01,0.45
strict_threshold,"Higher threshold: review score >=85, designed to reduce workload and false positives.",high_recovery,27720,295,0.010642,411,408,3,0.1873,0.261,0.1887,0.261,75020.62,42073.1,2664.75,1652.4,28630.37,0.9,3.0,0.01,0.45
capacity_aware,Capacity-aware queue: candidates score >=50 are ranked by risk score; only daily capacity is reviewed.,high_recovery,27720,295,0.010642,1645,600,1045,0.0833,0.4644,0.1533,0.3119,81030.83,35395.08,9382.5,2170.8,34082.45,0.9,3.0,0.01,0.45
cost_sensitive,"Cost-sensitive queue: review only when expected review utility is positive, then rank by expected utility.",high_recovery,27720,295,0.010642,11418,600,10818,0.0211,0.8169,0.1317,0.2678,92745.48,22378.81,49150.67,1995.3,19220.69,0.9,3.0,0.01,0.45
